epoch,cls_loss,mAP50,mAP50-95
1,tensor(2.7649),0.0112,0.0034
1,tensor(2.7649),0.0112,0.0034
2,tensor(3.1266),0.00858,0.00606
2,tensor(3.1266),0.00858,0.00606
3,tensor(1.5517),0.04469,0.02745
3,tensor(1.5517),0.04469,0.02745
4,tensor(1.4158),0.05819,0.03359
4,tensor(1.4158),0.05819,0.03359
5,tensor(1.3290),0.16447,0.09705
5,tensor(1.3290),0.16447,0.09705
6,tensor(1.6426),0.25215,0.1545
6,tensor(1.6426),0.25215,0.1545
7,tensor(1.2468),0.20936,0.12154
7,tensor(1.2468),0.20936,0.12154
8,tensor(1.4693),0.33415,0.18484
8,tensor(1.4693),0.33415,0.18484
9,tensor(1.2406),0.36505,0.20486
9,tensor(1.2406),0.36505,0.20486
10,tensor(1.1873),0.41765,0.23417
10,tensor(1.1873),0.41765,0.23417
11,tensor(1.4484),0.51568,0.28953
11,tensor(1.4484),0.51568,0.28953
12,tensor(1.0325),0.63313,0.34912
12,tensor(1.0325),0.63313,0.34912
13,tensor(1.1584),0.63866,0.36923
13,tensor(1.1584),0.63866,0.36923
14,tensor(9.6133),0.60637,0.34993
14,tensor(9.6133),0.60637,0.34993
15,tensor(0.9679),0.6021,0.35274
15,tensor(0.9679),0.6021,0.35274
16,tensor(1.4829),0.61955,0.35182
16,tensor(1.4829),0.61955,0.35182
17,tensor(0.7721),0.68264,0.40081
17,tensor(0.7721),0.68264,0.40081
18,tensor(1.1196),0.73684,0.40786
18,tensor(1.1196),0.73684,0.40786
19,tensor(1.2552),0.75862,0.41773
19,tensor(1.2552),0.75862,0.41773
20,tensor(1.1421),0.75363,0.42508
20,tensor(1.1421),0.75363,0.42508
21,tensor(0.8133),0.79413,0.43327
21,tensor(0.8133),0.79413,0.43327
22,tensor(0.9905),0.79417,0.4321
22,tensor(0.9905),0.79417,0.4321
23,tensor(0.7579),0.80038,0.44124
23,tensor(0.7579),0.80038,0.44124
24,tensor(1.4007),0.79332,0.42597
24,tensor(1.4007),0.79332,0.42597
25,tensor(2.2066),0.79882,0.43952
25,tensor(2.2066),0.79882,0.43952
26,tensor(1.7113),0.81574,0.44612
26,tensor(1.7113),0.81574,0.44612
27,tensor(1.1332),0.82638,0.44109
27,tensor(1.1332),0.82638,0.44109
28,tensor(0.7397),0.83541,0.45738
28,tensor(0.7397),0.83541,0.45738
29,tensor(0.8463),0.82551,0.45293
29,tensor(0.8463),0.82551,0.45293
30,tensor(1.0120),0.81281,0.45761
30,tensor(1.0120),0.81281,0.45761
31,tensor(0.7062),0.82902,0.46344
31,tensor(0.7062),0.82902,0.46344
32,tensor(1.4699),0.82942,0.46193
32,tensor(1.4699),0.82942,0.46193
33,tensor(0.7574),0.82193,0.45862
33,tensor(0.7574),0.82193,0.45862
34,tensor(0.5479),0.83298,0.47081
34,tensor(0.5479),0.83298,0.47081
35,tensor(0.8149),0.84121,0.45769
35,tensor(0.8149),0.84121,0.45769
36,tensor(1.1951),0.84712,0.46831
36,tensor(1.1951),0.84712,0.46831
37,tensor(0.7889),0.85045,0.47489
37,tensor(0.7889),0.85045,0.47489
38,tensor(0.7555),0.85566,0.47235
38,tensor(0.7555),0.85566,0.47235
39,tensor(1.4376),0.86009,0.47857
39,tensor(1.4376),0.86009,0.47857
40,tensor(0.7076),0.85741,0.4792
40,tensor(0.7076),0.85741,0.4792
41,tensor(2.9062),0.84225,0.47356
41,tensor(2.9062),0.84225,0.47356
42,tensor(0.7015),0.84725,0.4793
42,tensor(0.7015),0.84725,0.4793
43,tensor(0.8396),0.85583,0.48115
43,tensor(0.8396),0.85583,0.48115
44,tensor(1.0119),0.85533,0.47712
44,tensor(1.0119),0.85533,0.47712
45,tensor(1.1197),0.86144,0.4815
45,tensor(1.1197),0.86144,0.4815
46,tensor(1.1684),0.86337,0.48259
46,tensor(1.1684),0.86337,0.48259
47,tensor(2.4505),0.86344,0.47896
47,tensor(2.4505),0.86344,0.47896
48,tensor(0.6107),0.86666,0.48444
48,tensor(0.6107),0.86666,0.48444
49,tensor(0.6673),0.86785,0.48353
49,tensor(0.6673),0.86785,0.48353
50,tensor(0.6773),0.86908,0.48384
50,tensor(0.6773),0.86908,0.48384
50,tensor(0.6773),0.8665627604286392,0.4852827990857902
50,tensor(0.6773),0.8665627604286392,0.4852827990857902
