epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5494,1.57655,4.04509,0.93377,0.00173,0.02873,0.0112,0.0034,1.3441,4.12608,0.85501,0.00015,0.00015,0.00015
2,141.097,1.53124,2.10116,0.88642,0.00144,0.0224,0.00858,0.00606,1.31057,3.83716,0.84722,0.000306312,0.000306312,0.000306312
3,209.272,1.45551,1.67517,0.87119,0.01384,0.15048,0.04469,0.02745,1.30556,3.45662,0.84661,0.00045619,0.00045619,0.00045619
4,279.793,1.44944,1.54999,0.86394,0.01683,0.21824,0.05819,0.03359,1.32761,3.38601,0.86281,0.000599632,0.000599632,0.000599632
5,348.152,1.35972,1.40658,0.87013,0.02147,0.3112,0.16447,0.09705,1.3509,3.0986,0.86579,0.00073664,0.00073664,0.00073664
6,416.514,1.37598,1.38372,0.87402,0.23717,0.40486,0.25215,0.1545,1.28861,2.41979,0.85375,0.000867213,0.000867213,0.000867213
7,484.34,1.32884,1.29115,0.87698,0.45287,0.22788,0.20936,0.12154,1.35315,2.35366,0.86078,0.00099135,0.00099135,0.00099135
8,552.882,1.35693,1.29654,0.86559,0.57156,0.26392,0.33415,0.18484,1.3232,1.77943,0.86079,0.00107675,0.00107675,0.00107675
9,622.25,1.30015,1.28159,0.88568,0.68816,0.4098,0.36505,0.20486,1.29762,1.43513,0.85936,0.001052,0.001052,0.001052
10,689.845,1.33206,1.20508,0.87714,0.67961,0.41425,0.41765,0.23417,1.26845,1.37556,0.85266,0.00102725,0.00102725,0.00102725
11,759.052,1.354,1.17482,0.86467,0.77834,0.4464,0.51568,0.28953,1.25117,1.16215,0.85418,0.0010025,0.0010025,0.0010025
12,826.704,1.25082,1.071,0.85648,0.84451,0.53029,0.63313,0.34912,1.23309,1.11839,0.85442,0.00097775,0.00097775,0.00097775
13,895.877,1.29048,1.04488,0.86244,0.82293,0.56349,0.63866,0.36923,1.22987,1.04484,0.85056,0.000953,0.000953,0.000953
14,1218.27,1.15652,1.65108,0.79608,0.68938,0.566,0.60637,0.34993,1.22645,1.04566,0.85104,0.00092825,0.00092825,0.00092825
15,1717.49,1.27021,0.96018,0.85553,0.54037,0.5761,0.6021,0.35274,1.22663,1.02158,0.85878,0.0009035,0.0009035,0.0009035
16,2180.05,1.24807,1.00268,0.8701,0.6467,0.62809,0.61955,0.35182,1.24251,1.21441,0.85594,0.00087875,0.00087875,0.00087875
